coupon_id,ride_id,coupon_code,campaign_name,discount_type,discount_value,discount_amt,valid_from,valid_to
CPN0000001,RID0000003,FIRST20,First ride discount,percentage,20,26.33,2024-07-31,2024-08-30
CPN0000002,RID0000013,WELCOME50,New user welcome offer,flat,50,29.75,2025-04-16,2025-05-04
CPN0000003,RID0000014,LOYAL30,Loyalty reward,flat,30,20.4,2024-08-26,2024-09-21
CPN0000004,RID0000034,FEST100,Festive season offer,flat,100,16.92,2024-03-11,2024-04-03
CPN0000005,RID0000047,FEST100,Festive season offer,flat,100,36.45,2024-09-09,2024-10-05
CPN0000006,RID0000056,FEST100,Festive season offer,flat,100,12.0,2026-03-31,2026-04-25
CPN0000007,RID0000068,FEST100,Festive season offer,flat,100,23.76,2024-10-18,2024-11-20
CPN0000008,RID0000078,LOYAL30,Loyalty reward,flat,30,30.0,2025-11-19,2025-12-17
CPN0000009,RID0000079,FEST100,Festive season offer,flat,100,27.82,2024-08-22,2024-09-06
CPN0000010,RID0000091,LOYAL30,Loyalty reward,flat,30,19.23,2025-05-14,2025-06-05
CPN0000011,RID0000109,FIRST20,First ride discount,percentage,20,15.12,2025-12-04,2026-01-01
CPN0000012,RID0000118,WEEKEND15,Weekend ride offer,percentage,15,20.0,2024-12-17,2025-01-05
CPN0000013,RID0000120,FEST100,Festive season offer,flat,100,19.5,2026-04-02,2026-04-27
CPN0000014,RID0000128,LOYAL30,Loyalty reward,flat,30,30.0,2024-03-02,2024-03-30
CPN0000015,RID0000131,RAINY10,Monsoon special,percentage,10,4.44,2024-11-08,2024-11-23
CPN0000016,RID0000135,RAINY10,Monsoon special,percentage,10,43.35,2025-11-14,2025-12-20
CPN0000017,RID0000141,WELCOME50,New user welcome offer,flat,50,24.71,2024-04-21,2024-05-13
CPN0000018,RID0000157,WELCOME50,New user welcome offer,flat,50,19.8,2025-06-04,2025-07-05
CPN0000019,RID0000159,FEST100,Festive season offer,flat,100,100.0,2026-03-21,2026-04-13
CPN0000020,RID0000160,RAINY10,Monsoon special,percentage,10,8.58,2025-06-03,2025-06-30
CPN0000021,RID0000163,FIRST20,First ride discount,percentage,20,15.74,2025-06-09,2025-06-29
CPN0000022,RID0000169,RAINY10,Monsoon special,percentage,10,15.19,2026-03-05,2026-03-27
CPN0000023,RID0000170,FIRST20,First ride discount,percentage,20,29.26,2024-01-27,2024-02-22
CPN0000024,RID0000173,LOYAL30,Loyalty reward,flat,30,30.0,2025-09-06,2025-10-07
CPN0000025,RID0000175,RAINY10,Monsoon special,percentage,10,19.64,2024-05-10,2024-06-12
CPN0000026,RID0000177,FIRST20,First ride discount,percentage,20,11.99,2024-03-14,2024-03-25
CPN0000027,RID0000181,LOYAL30,Loyalty reward,flat,30,30.0,2024-06-27,2024-07-23
CPN0000028,RID0000190,WEEKEND15,Weekend ride offer,percentage,15,31.72,2024-05-28,2024-06-14
CPN0000029,RID0000191,FEST100,Festive season offer,flat,100,64.74,2024-05-21,2024-06-10
CPN0000030,RID0000202,FIRST20,First ride discount,percentage,20,13.32,2025-09-18,2025-10-19
