feedback_id,ride_id,user_rating,driver_rating,user_comment,driver_comment,feedback_tags
FB0000001,RID0000001,4.2,4.6,Driver took a longer route,,
FB0000002,RID0000002,4.6,4.0,"Great ride, very smooth",,
FB0000003,RID0000003,4.7,4.0,Vehicle was clean,,
FB0000004,RID0000005,4.3,4.9,,,
FB0000005,RID0000006,3.7,4.0,Excellent service,,
FB0000006,RID0000007,4.1,4.0,,Good communication,
FB0000007,RID0000008,3.9,,Vehicle was clean,No issues,
FB0000008,RID0000009,4.4,,,,
FB0000009,RID0000011,3.8,5.0,Driver was polite,,
FB0000010,RID0000012,4.0,5.0,"Great ride, very smooth",Cooperative rider,
FB0000011,RID0000013,5.0,4.9,Excellent service,,clean vehicle
FB0000012,RID0000014,3.3,3.8,Driver was polite,,
FB0000013,RID0000015,4.2,3.7,,,
FB0000014,RID0000018,5.0,3.6,Driver was polite,,long route taken
FB0000015,RID0000019,4.6,,,No issues,
FB0000016,RID0000020,4.1,5.0,Very safe driving,Good communication,
FB0000017,RID0000021,3.6,5.0,,Good communication,
FB0000018,RID0000022,4.5,4.2,Excellent service,,
FB0000019,RID0000023,4.8,5.0,"Great ride, very smooth",Polite passenger,late pickup
FB0000020,RID0000024,3.9,4.2,,No issues,
FB0000021,RID0000025,3.1,4.1,,,
FB0000022,RID0000028,3.8,4.6,Very safe driving,,
FB0000023,RID0000029,4.5,4.3,Vehicle was clean,,
FB0000024,RID0000031,4.0,5.0,,Good communication,
FB0000025,RID0000034,4.4,5.0,,Polite passenger,
FB0000026,RID0000037,4.9,,,,safe driving
FB0000027,RID0000039,3.8,4.0,Very safe driving,,
FB0000028,RID0000040,4.7,4.0,,On time at pickup,
FB0000029,RID0000042,4.5,4.7,,,
FB0000030,RID0000043,4.7,4.7,,,
FB0000031,RID0000044,4.0,3.8,,,
FB0000032,RID0000045,3.2,4.4,,,
FB0000033,RID0000046,5.0,,,,clean vehicle
FB0000034,RID0000047,3.2,5.0,Excellent service,,
FB0000035,RID0000048,3.3,3.9,Vehicle was clean,No issues,
FB0000036,RID0000049,4.1,5.0,,,
FB0000037,RID0000050,3.8,,Very safe driving,Good communication,
FB0000038,RID0000053,4.9,5.0,Driver took a longer route,,good music
FB0000039,RID0000054,5.0,4.5,Vehicle was clean,No issues,long route taken
FB0000040,RID0000055,4.7,4.8,Vehicle was clean,,
FB0000041,RID0000056,4.9,,Music was too loud,,clean vehicle
FB0000042,RID0000059,4.4,4.3,,,
FB0000043,RID0000060,2.7,3.9,,,rude behavior
