vehicle_id,driver_id,vehicle_type,make,model,year,registration_number,fuel_type,insurance_expiry_date,last_service_date
VEH00001,DRV00001,Mini,Hyundai,Santro,2022,TS06GL7877,Diesel,2025-09-15,2026-05-25
VEH00002,DRV00002,Prime,Honda,City,2022,MH18ON3287,Petrol,2023-12-21,2025-06-09
VEH00003,DRV00003,XL,Mahindra,Marazzo,2026,KA20JF2174,CNG,2029-01-26,
VEH00004,DRV00004,Bike,Hero,Splendor,2018,DL15CP8096,CNG,2021-06-14,2020-11-21
VEH00005,DRV00005,Mini,Hyundai,Santro,2019,MH15HE9290,Diesel,2021-11-08,2026-04-13
VEH00006,DRV00006,XL,Toyota,Innova,2026,TS17MB0033,Petrol,2027-05-01,
VEH00007,DRV00007,Mini,Maruti Suzuki,WagonR,2021,TN13MH7579,Petrol,2024-02-01,2021-05-03
VEH00008,DRV00008,Bike,Hero,Splendor,2022,RJ14QF3470,Diesel,2025-02-18,2023-06-30
VEH00009,DRV00009,Prime,Hyundai,Verna,2020,GJ01FT7468,Petrol,2021-07-25,2022-04-27
VEH00010,DRV00010,Bike,Hero,Splendor,2015,UP06SB4538,Petrol,2016-11-17,2021-02-21
VEH00011,DRV00011,Mini,Hyundai,Santro,2017,RJ04GS1916,Petrol,2018-07-14,2017-10-13
VEH00012,DRV00012,Auto,Piaggio,Ape,2015,RJ20NN6100,Petrol,2016-11-18,2016-08-07
VEH00013,DRV00013,XL,Toyota,Innova,2022,GJ10AE0766,Petrol,2023-07-03,2023-04-03
VEH00014,DRV00014,Bike,TVS,Apache,2018,GJ12FT9345,Petrol,2019-10-15,2025-08-14
VEH00015,DRV00015,Mini,Hyundai,Santro,2017,KA05IP5061,CNG,2020-05-07,2020-05-23
VEH00016,DRV00016,Mini,Maruti Suzuki,WagonR,2026,WB07ZF1007,CNG,2028-11-12,
VEH00017,DRV00017,Mini,Maruti Suzuki,Alto,2015,DL17GM2837,Petrol,2018-05-07,2023-06-30
VEH00018,DRV00018,Auto,Piaggio,Ape,2024,WB06ZA2661,Diesel,2025-12-03,2025-06-27
VEH00019,DRV00019,Mini,Hyundai,Santro,2024,TN07TB3049,CNG,2025-04-24,2024-10-01
VEH00020,DRV00020,Auto,Piaggio,Ape,2018,KA10PK3269,Petrol,2021-06-16,2020-03-06
VEH00021,DRV00021,Bike,Hero,Splendor,2022,WB19CQ1023,Electric,2023-03-19,2022-07-23
VEH00022,DRV00022,Mini,Maruti Suzuki,Alto,2026,DL01YE0954,Petrol,2027-10-21,
VEH00023,DRV00023,Mini,Hyundai,Santro,2019,MH03OP1139,Petrol,2021-08-17,2020-05-16
VEH00024,DRV00024,Prime,Maruti Suzuki,Ciaz,2026,GJ12ND0955,CNG,2028-02-22,
VEH00025,DRV00025,Prime,Hyundai,Verna,2015,DL20IY2979,CNG,2017-11-12,2022-08-24
VEH00026,DRV00026,Bike,Hero,Splendor,2016,MH09NP2243,Petrol,2018-07-24,2021-03-01
VEH00027,DRV00027,XL,Mahindra,Marazzo,2024,UP18RY3283,Diesel,2027-02-16,2024-06-16
VEH00028,DRV00028,Auto,Bajaj,RE Auto,2022,MH16DG7916,Petrol,2024-10-21,2024-06-26
VEH00029,DRV00029,Prime,Hyundai,Verna,2019,TS17PV1084,Petrol,2021-03-24,2024-06-06
VEH00030,DRV00030,Mini,Maruti Suzuki,WagonR,2020,TN07FS6469,Petrol,2021-11-14,2026-01-19
VEH00031,DRV00031,Bike,Hero,Splendor,2024,TS05OE8212,Electric,2026-03-16,2024-07-25
VEH00032,DRV00032,Mini,Maruti Suzuki,Alto,2017,UP09RN8991,Petrol,2019-04-27,2021-11-08
VEH00033,DRV00033,Mini,Maruti Suzuki,Alto,2025,UP11AC3014,Petrol,2026-02-27,2025-10-17
VEH00034,DRV00034,Prime,Honda,City,2025,GJ10SX3002,CNG,2028-11-25,2026-02-28
VEH00035,DRV00035,Mini,Maruti Suzuki,Alto,2022,TN08XI8921,Petrol,2023-03-26,2026-01-02
VEH00036,DRV00036,Bike,Hero,Splendor,2025,GJ03IL7589,CNG,2026-11-07,2026-06-06
VEH00037,DRV00037,Auto,Bajaj,RE Auto,2022,DL06ST0075,CNG,2024-04-08,2025-07-17
VEH00038,DRV00038,Mini,Hyundai,Santro,2023,KA13EE0091,CNG,2024-12-07,2025-05-01
VEH00039,DRV00039,XL,Mahindra,Marazzo,2021,UP07EC4521,Petrol,2023-11-01,2025-03-01
VEH00040,DRV00040,Mini,Hyundai,Santro,2020,TS04YV8502,Diesel,2023-12-28,2026-06-02
VEH00041,DRV00041,Mini,Maruti Suzuki,WagonR,2018,MH10AY5171,CNG,2020-09-25,2021-12-01
VEH00042,DRV00042,Prime,Honda,City,2020,DL15NQ0790,Diesel,2022-06-18,2023-10-18
VEH00043,DRV00043,Mini,Maruti Suzuki,WagonR,2018,MH14ME6690,CNG,2021-01-05,2022-01-07
VEH00044,DRV00044,Mini,Maruti Suzuki,WagonR,2022,WB17AU1114,Petrol,2024-11-22,2025-11-25
VEH00045,DRV00045,Mini,Hyundai,Santro,2016,UP17CD5697,CNG,2019-09-10,2023-03-28
VEH00046,DRV00046,Mini,Hyundai,Santro,2023,WB09BT8188,Electric,2025-05-21,2024-10-19
VEH00047,DRV00047,Auto,Bajaj,RE Auto,2023,UP07OS9170,CNG,2024-07-17,2025-03-14
VEH00048,DRV00048,Bike,Bajaj,Pulsar,2015,DL17QA1797,Diesel,2018-07-17,2017-02-26
VEH00049,DRV00049,Mini,Hyundai,Santro,2017,WB15MH5429,Petrol,2019-07-26,2020-10-30
VEH00050,DRV00050,Bike,Bajaj,Pulsar,2017,UP17PU2577,Petrol,2018-06-04,2022-05-17
VEH00051,DRV00051,Mini,Maruti Suzuki,Alto,2017,DL02ZZ6436,CNG,2018-04-05,2017-08-21
VEH00052,DRV00052,Mini,Maruti Suzuki,Alto,2026,UP04LU3363,Diesel,2029-08-23,
VEH00053,DRV00053,Bike,TVS,Apache,2024,TS17WC3227,Petrol,2026-07-01,2026-07-09
VEH00054,DRV00054,Auto,Bajaj,RE Auto,2023,WB07CE1421,Petrol,2026-09-06,2025-08-23
VEH00055,DRV00055,Mini,Maruti Suzuki,WagonR,2018,GJ06OH4366,CNG,2020-06-19,2020-11-23
VEH00056,DRV00056,Bike,Hero,Splendor,2016,TS05UE7597,Petrol,2018-12-03,2021-07-08
VEH00057,DRV00057,Bike,Bajaj,Pulsar,2023,KA07RT0490,CNG,2026-07-20,2026-01-14
VEH00058,DRV00058,Bike,Hero,Splendor,2024,GJ04PY4954,CNG,2027-12-17,2026-04-09
VEH00059,DRV00059,Auto,Bajaj,RE Auto,2016,DL02DM9026,Diesel,2019-09-20,2023-05-06
VEH00060,DRV00060,Mini,Maruti Suzuki,WagonR,2017,KA06YD0432,Petrol,2018-05-22,2024-02-19
VEH00061,DRV00061,Bike,TVS,Apache,2022,MH11PO1718,Petrol,2024-07-14,2025-09-02
VEH00062,DRV00062,Auto,Bajaj,RE Auto,2024,DL07EQ5133,Diesel,2026-03-14,2025-06-15
VEH00063,DRV00063,Mini,Maruti Suzuki,Alto,2018,MH17TC2078,Diesel,2019-01-11,2026-03-06
VEH00064,DRV00064,Prime,Maruti Suzuki,Ciaz,2021,TS17IS2345,Diesel,2023-10-11,2023-08-04
VEH00065,DRV00065,Prime,Maruti Suzuki,Ciaz,2026,RJ05ZY8892,CNG,2029-06-17,
VEH00066,DRV00066,Auto,Piaggio,Ape,2017,KA03IC3166,Petrol,2019-06-10,2018-10-26
VEH00067,DRV00067,Bike,Bajaj,Pulsar,2025,DL08JK7306,Electric,2027-05-22,2026-02-08
VEH00068,DRV00068,Bike,Bajaj,Pulsar,2024,MH13PN8575,Petrol,2027-09-16,2025-07-21
VEH00069,DRV00069,Mini,Maruti Suzuki,Alto,2024,MH08YF1133,Petrol,2026-05-15,2026-01-11
