payment_id,ride_id,amount,payment_mode,payment_status,transaction_id,timestamp,wallet_used,cashback_applied
PAY0000001,RID0000001,39.78,Wallet,Success,TXN222275907263,2025-10-11 10:12:27,1,0.93
PAY0000002,RID0000002,38.7,Cash,Success,,2026-02-23 16:07:07,0,
PAY0000003,RID0000003,131.64,UPI,Success,TXN931984601732,2024-08-13 03:27:15,0,10.43
PAY0000004,RID0000004,32.87,UPI,Refunded,TXN246289237399,2025-11-17 09:33:56,0,
PAY0000005,RID0000005,200.4,UPI,Failed,TXN592771793159,2024-08-28 13:02:56,0,
PAY0000006,RID0000006,73.2,UPI,Success,TXN201331513311,2026-05-07 12:29:31,0,6.97
PAY0000007,RID0000007,55.51,Cash,Success,,2024-04-25 22:57:34,0,
PAY0000008,RID0000008,152.64,Credit Card,Success,TXN461661705555,2026-05-20 03:48:54,0,
PAY0000009,RID0000009,56.16,Wallet,Success,TXN895472320002,2025-03-29 14:36:31,1,
PAY0000010,RID0000010,79.63,Wallet,Refunded,TXN166775494934,2024-02-11 16:41:21,1,
PAY0000011,RID0000011,46.8,Cash,Success,,2024-04-18 22:58:15,0,
PAY0000012,RID0000012,42.0,Debit Card,Success,TXN259789352581,2024-06-24 03:00:11,0,3.31
PAY0000013,RID0000013,59.51,Credit Card,Success,TXN991854901160,2025-04-21 07:55:48,0,
PAY0000014,RID0000014,40.8,Credit Card,Success,TXN506861471388,2024-09-05 09:25:51,0,
PAY0000015,RID0000015,109.8,Credit Card,Success,TXN145020251829,2026-07-06 08:46:11,0,
PAY0000016,RID0000016,249.18,Wallet,Success,TXN536247981636,2026-05-22 19:08:47,1,
PAY0000017,RID0000017,1.74,Credit Card,Failed,TXN336057086972,2024-03-22 01:27:25,0,
PAY0000018,RID0000018,167.9,Wallet,Success,TXN297123665724,2026-01-14 02:40:54,1,
PAY0000019,RID0000019,85.45,Wallet,Failed,TXN842334872369,2025-07-22 03:54:28,1,
PAY0000020,RID0000020,144.12,UPI,Success,TXN311198913612,2026-01-10 18:21:27,0,
PAY0000021,RID0000021,45.66,Cash,Failed,,2024-02-06 13:02:05,0,
PAY0000022,RID0000022,90.48,Credit Card,Refunded,TXN207189599309,2025-09-22 03:35:57,0,
PAY0000023,RID0000023,71.85,UPI,Success,TXN814277017255,2024-05-25 22:47:36,0,2.6
PAY0000024,RID0000024,137.9,Wallet,Success,TXN544291503101,2025-03-13 01:17:33,1,
PAY0000025,RID0000025,35.76,Cash,Success,,2024-09-15 00:34:40,0,
PAY0000026,RID0000028,115.2,Cash,Success,,2024-08-30 16:00:09,0,
PAY0000027,RID0000029,33.95,Debit Card,Success,TXN314579892397,2026-06-09 02:55:00,0,
PAY0000028,RID0000030,69.62,UPI,Refunded,TXN620343324725,2025-03-29 00:31:43,0,
PAY0000029,RID0000031,143.52,UPI,Success,TXN965915363855,2024-11-08 19:00:33,0,
PAY0000030,RID0000032,174.36,Cash,Success,,2024-04-23 23:23:36,0,
PAY0000031,RID0000033,102.06,UPI,Success,TXN751272626224,2025-11-18 14:50:37,0,
PAY0000032,RID0000034,33.84,Cash,Success,,2024-03-16 20:30:23,0,
PAY0000033,RID0000035,93.48,Credit Card,Refunded,TXN862813087754,2025-12-09 09:45:09,0,
PAY0000034,RID0000036,55.46,Cash,Success,,2024-05-12 16:47:33,0,
PAY0000035,RID0000037,36.18,Cash,Success,,2025-02-11 08:19:22,0,
PAY0000036,RID0000038,100.88,Credit Card,Success,TXN109609729489,2024-01-10 22:21:07,0,
PAY0000037,RID0000039,89.75,Wallet,Success,TXN295188406857,2024-09-29 08:30:58,1,5.87
PAY0000038,RID0000040,162.5,Credit Card,Failed,TXN964175367026,2025-11-04 02:05:32,0,
PAY0000039,RID0000041,115.73,Credit Card,Success,TXN304824026788,2024-02-14 11:11:30,0,
PAY0000040,RID0000042,45.56,Wallet,Refunded,TXN677730655721,2025-01-05 08:46:56,1,
PAY0000041,RID0000043,164.78,Wallet,Success,TXN676500315549,2025-11-09 16:35:14,1,
PAY0000042,RID0000044,164.88,Debit Card,Success,TXN887303920643,2024-06-02 18:30:20,0,
PAY0000043,RID0000045,84.62,Wallet,Success,TXN671760989538,2026-02-17 14:58:58,1,
PAY0000044,RID0000046,38.4,Debit Card,Success,TXN519575904633,2026-04-25 18:11:25,0,
PAY0000045,RID0000047,72.9,Cash,Success,,2024-09-15 05:59:47,0,
PAY0000046,RID0000048,34.44,Cash,Success,,2024-10-18 10:14:36,0,
PAY0000047,RID0000049,191.76,Credit Card,Success,TXN366891974709,2024-01-28 09:16:04,0,
PAY0000048,RID0000050,71.42,Wallet,Success,TXN438061548986,2026-02-11 16:00:11,1,
PAY0000049,RID0000051,153.14,UPI,Success,TXN142207598229,2025-02-23 00:21:59,0,
PAY0000050,RID0000052,92.0,Debit Card,Success,TXN689522204493,2024-10-16 12:01:55,0,
PAY0000051,RID0000053,34.85,Wallet,Refunded,TXN329196134569,2024-09-08 20:27:29,1,
PAY0000052,RID0000054,202.0,Credit Card,Success,TXN588843029358,2024-06-10 18:21:49,0,
PAY0000053,RID0000055,55.92,UPI,Success,TXN453108092934,2025-10-19 21:08:41,0,
PAY0000054,RID0000056,24.0,Debit Card,Success,TXN946590949264,2026-04-07 07:26:50,0,0.96
PAY0000055,RID0000058,8.8,Debit Card,Failed,TXN649275840408,2024-06-22 15:04:00,0,
PAY0000056,RID0000059,47.46,Cash,Refunded,,2024-02-08 20:59:17,0,
PAY0000057,RID0000060,82.68,Wallet,Refunded,TXN556046370044,2024-11-17 07:20:40,1,
PAY0000058,RID0000061,36.29,Debit Card,Success,TXN269575940492,2025-01-07 15:45:07,0,
PAY0000059,RID0000064,19.8,Wallet,Success,TXN104214328133,2024-10-23 08:25:53,1,
PAY0000060,RID0000065,67.7,UPI,Success,TXN370207429709,2026-01-11 08:38:48,0,
PAY0000061,RID0000066,48.08,Credit Card,Success,TXN762451630023,2025-11-15 00:12:11,0,
PAY0000062,RID0000067,88.74,Debit Card,Failed,TXN451192267349,2025-09-03 11:11:40,0,
PAY0000063,RID0000068,47.52,Wallet,Refunded,TXN879854900571,2024-11-01 22:31:35,1,
PAY0000064,RID0000071,94.0,Debit Card,Success,TXN643495650506,2026-07-13 22:22:54,0,
PAY0000065,RID0000072,146.44,Cash,Failed,,2024-07-20 19:04:14,0,
PAY0000066,RID0000073,52.11,Wallet,Success,TXN528601007992,2024-12-05 00:15:20,1,
PAY0000067,RID0000074,6.56,Credit Card,Success,TXN554267212276,2025-06-04 13:44:58,0,
PAY0000068,RID0000075,219.36,Wallet,Success,TXN877213342553,2026-03-04 18:58:14,1,21.14
PAY0000069,RID0000076,10.05,Debit Card,Failed,TXN972341975459,2026-04-15 01:42:33,0,
PAY0000070,RID0000077,106.44,Credit Card,Success,TXN371990736000,2025-12-10 20:14:05,0,
PAY0000071,RID0000078,143.08,UPI,Success,TXN942417861357,2025-12-07 17:52:08,0,
PAY0000072,RID0000079,55.64,Debit Card,Success,TXN550690319751,2024-08-27 20:47:42,0,
PAY0000073,RID0000080,52.32,Credit Card,Success,TXN256964020710,2024-03-15 18:34:12,0,4.41
PAY0000074,RID0000081,107.56,Wallet,Success,TXN625153186308,2026-05-05 17:16:51,1,
PAY0000075,RID0000082,91.8,Credit Card,Success,TXN846898036520,2024-11-11 15:42:08,0,
PAY0000076,RID0000083,134.5,Cash,Success,,2026-06-01 09:47:10,0,
PAY0000077,RID0000084,12.46,Wallet,Failed,TXN494531587763,2025-04-15 02:05:22,1,
PAY0000078,RID0000085,76.41,Debit Card,Failed,TXN455922369932,2024-10-10 00:04:39,0,
PAY0000079,RID0000086,162.48,Wallet,Success,TXN560429891465,2026-04-04 07:55:45,1,
PAY0000080,RID0000087,40.8,Debit Card,Refunded,TXN140571038154,2025-03-31 05:38:17,0,
PAY0000081,RID0000088,115.44,Wallet,Success,TXN541315576615,2025-04-29 08:41:37,1,
PAY0000082,RID0000089,63.66,UPI,Refunded,TXN915853649753,2025-08-04 07:22:28,0,
PAY0000083,RID0000090,25.44,Wallet,Success,TXN363831795721,2024-12-04 15:27:07,1,
PAY0000084,RID0000091,38.46,Cash,Success,,2025-05-27 19:30:14,0,
PAY0000085,RID0000092,268.78,UPI,Success,TXN437521954379,2024-02-19 07:23:14,0,13.57
PAY0000086,RID0000093,137.19,Credit Card,Success,TXN474842865645,2025-11-30 10:57:29,0,
PAY0000087,RID0000094,41.7,Credit Card,Success,TXN446925181601,2024-10-09 03:16:27,0,
PAY0000088,RID0000095,61.32,Wallet,Refunded,TXN475466945302,2024-03-31 18:38:05,1,
PAY0000089,RID0000096,44.88,Cash,Success,,2024-02-13 05:24:01,0,
PAY0000090,RID0000098,48.19,Debit Card,Success,TXN387320193421,2024-09-16 02:55:48,0,4.25
PAY0000091,RID0000099,81.54,Credit Card,Refunded,TXN442677893563,2025-08-23 02:57:09,0,
PAY0000092,RID0000100,58.76,Cash,Refunded,,2026-01-05 09:44:47,0,
PAY0000093,RID0000101,8.72,Cash,Failed,,2025-11-23 18:48:30,0,
PAY0000094,RID0000102,74.45,Debit Card,Success,TXN205267248596,2025-12-20 16:55:21,0,
PAY0000095,RID0000103,41.4,Credit Card,Failed,TXN636313803396,2025-06-19 23:46:10,0,
PAY0000096,RID0000104,20.82,Debit Card,Success,TXN856529588499,2024-09-08 02:52:51,0,
PAY0000097,RID0000105,27.72,Cash,Success,,2024-02-09 09:15:29,0,
PAY0000098,RID0000106,138.96,UPI,Failed,TXN444978271037,2025-05-16 00:16:01,0,
PAY0000099,RID0000107,137.8,Debit Card,Failed,TXN950657360505,2025-10-02 13:29:29,0,
PAY0000100,RID0000108,122.52,Credit Card,Success,TXN880352290475,2025-04-09 17:21:14,0,
PAY0000101,RID0000109,75.6,Credit Card,Refunded,TXN352905506682,2025-12-22 00:12:32,0,
PAY0000102,RID0000111,60.0,Credit Card,Failed,TXN742493144878,2024-01-14 20:01:41,0,
PAY0000103,RID0000113,109.3,Credit Card,Success,TXN697602716382,2025-11-15 16:07:33,0,
PAY0000104,RID0000114,196.8,Debit Card,Failed,TXN694601311071,2024-08-08 23:30:55,0,
PAY0000105,RID0000115,175.0,UPI,Failed,TXN842923267393,2026-04-14 18:13:02,0,
PAY0000106,RID0000116,103.31,Cash,Refunded,,2025-12-15 17:44:37,0,
PAY0000107,RID0000117,123.41,Wallet,Refunded,TXN287318242810,2024-10-29 17:42:50,1,
PAY0000108,RID0000118,133.32,Credit Card,Refunded,TXN258783379385,2024-12-22 20:13:18,0,
PAY0000109,RID0000119,21.18,Wallet,Failed,TXN257796634954,2024-09-13 23:30:36,1,
PAY0000110,RID0000120,39.0,Cash,Success,,2026-04-11 03:46:09,0,
PAY0000111,RID0000121,200.72,Credit Card,Success,TXN664618370933,2025-03-31 07:58:19,0,
PAY0000112,RID0000122,57.48,Wallet,Failed,TXN981996087109,2026-05-11 01:05:02,1,
PAY0000113,RID0000123,83.54,Debit Card,Success,TXN322898093088,2025-02-09 11:30:27,0,
PAY0000114,RID0000125,39.6,Cash,Success,,2025-07-16 20:59:16,0,
PAY0000115,RID0000127,71.28,Cash,Refunded,,2024-09-25 07:26:13,0,
PAY0000116,RID0000128,226.62,Cash,Refunded,,2024-03-20 17:38:44,0,
PAY0000117,RID0000129,120.24,Credit Card,Success,TXN438690193260,2025-09-08 14:28:59,0,
PAY0000118,RID0000130,165.6,Wallet,Success,TXN609975775200,2026-06-29 08:51:56,1,
PAY0000119,RID0000131,44.4,Debit Card,Success,TXN924939022613,2024-11-13 20:18:45,0,
PAY0000120,RID0000132,75.24,Wallet,Success,TXN207653592742,2025-08-15 03:45:37,1,
PAY0000121,RID0000133,154.73,Cash,Success,,2025-09-16 13:34:09,0,
PAY0000122,RID0000134,127.26,Wallet,Success,TXN178331277544,2025-07-09 21:35:03,1,
PAY0000123,RID0000135,433.5,UPI,Success,TXN158049869621,2025-12-02 12:53:01,0,
PAY0000124,RID0000136,135.36,Credit Card,Success,TXN203358884799,2024-03-25 03:09:17,0,
PAY0000125,RID0000137,150.24,Wallet,Success,TXN813659615554,2025-02-26 03:25:55,1,
PAY0000126,RID0000138,19.8,Debit Card,Failed,TXN534409396242,2024-10-21 16:45:42,0,
PAY0000127,RID0000140,81.0,Credit Card,Refunded,TXN456916313595,2025-05-26 20:04:19,0,
PAY0000128,RID0000141,49.43,Cash,Success,,2024-04-29 22:23:00,0,
PAY0000129,RID0000143,79.55,UPI,Success,TXN954369447786,2025-10-08 09:25:55,0,
PAY0000130,RID0000144,77.47,Credit Card,Success,TXN812459547446,2024-11-10 19:44:16,0,
PAY0000131,RID0000145,127.73,Debit Card,Refunded,TXN791548526761,2025-09-16 02:58:30,0,
PAY0000132,RID0000146,54.74,Wallet,Success,TXN335895208291,2026-01-23 10:21:39,1,4.29
PAY0000133,RID0000147,51.19,Cash,Failed,,2024-01-31 09:57:18,0,
PAY0000134,RID0000149,29.59,Credit Card,Refunded,TXN408869297816,2025-02-11 00:45:58,0,
PAY0000135,RID0000150,199.69,Wallet,Success,TXN346920415398,2026-06-03 03:46:01,1,
PAY0000136,RID0000151,34.44,UPI,Success,TXN866513204840,2024-12-15 18:46:28,0,
PAY0000137,RID0000152,96.0,Wallet,Success,TXN493618266366,2025-08-14 12:15:46,1,
PAY0000138,RID0000153,83.52,Wallet,Success,TXN475663361410,2025-01-13 18:30:25,1,
PAY0000139,RID0000155,75.92,Cash,Success,,2025-02-08 19:42:37,0,
PAY0000140,RID0000156,104.15,UPI,Failed,TXN146070744042,2024-11-09 03:55:48,0,
PAY0000141,RID0000157,39.6,Debit Card,Success,TXN471659016421,2025-06-24 10:53:45,0,
PAY0000142,RID0000159,208.74,Credit Card,Success,TXN187711190518,2026-04-01 06:10:20,0,
PAY0000143,RID0000160,85.82,Cash,Failed,,2025-06-10 15:48:15,0,
